,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
10828,26.0,blue-collar,single,unknown,no,yes,yes,telephone,jun,wed,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
39581,24.0,student,single,high.school,no,yes,no,cellular,may,tue,2.0,6.0,2.0,success,-1.8,93.876,-40.0,0.6679999999999999,5008.7,yes
40514,33.0,student,married,professional.course,no,yes,no,cellular,aug,mon,3.0,3.0,4.0,success,-1.7,94.027,-38.3,0.8959999999999999,4991.6,yes
40220,72.0,retired,married,basic.6y,no,yes,no,cellular,jul,wed,1.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.8809999999999999,4991.6,yes
38349,38.0,technician,married,university.degree,no,no,no,cellular,oct,fri,1.0,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
37756,79.0,housemaid,married,basic.4y,no,no,no,cellular,aug,fri,1.0,3.0,2.0,success,-2.9,92.201,-31.4,0.8490000000000001,5076.2,yes
33640,38.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,5.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
26962,33.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
5384,60.0,retired,married,high.school,unknown,yes,no,telephone,may,fri,6.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
17235,36.0,services,married,high.school,no,no,no,cellular,jul,fri,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
18154,25.0,services,single,basic.9y,no,yes,no,cellular,jul,wed,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
37563,20.0,student,single,high.school,no,no,no,cellular,aug,fri,,999.0,1.0,failure,-2.9,92.201,-31.4,0.8690000000000001,5076.2,no
5829,34.0,admin.,married,university.degree,no,no,no,telephone,may,mon,5.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33124,33.0,blue-collar,single,basic.6y,no,yes,no,cellular,may,tue,3.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,yes
859,35.0,blue-collar,single,unknown,no,yes,no,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2765,43.0,unknown,married,high.school,unknown,no,no,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
35794,56.0,technician,single,professional.course,no,yes,no,cellular,may,mon,3.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,no
38562,48.0,technician,married,high.school,no,no,no,cellular,oct,thu,1.0,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
30297,46.0,admin.,married,basic.6y,no,no,no,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
32029,42.0,admin.,married,high.school,no,unknown,unknown,cellular,may,thu,3.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.327,5099.1,yes
27904,20.0,student,single,basic.9y,no,yes,no,cellular,mar,thu,1.0,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,yes
942,42.0,services,divorced,high.school,unknown,no,no,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
7988,37.0,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,mon,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
17488,47.0,self-employed,married,university.degree,no,no,yes,cellular,jul,mon,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24586,42.0,admin.,divorced,high.school,no,yes,no,telephone,nov,mon,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
39795,76.0,housemaid,married,basic.4y,no,no,no,cellular,jun,tue,5.0,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,yes
40769,41.0,management,divorced,university.degree,no,no,no,cellular,sep,fri,5.0,3.0,3.0,success,-1.1,94.199,-37.5,0.879,4963.6,yes
10388,31.0,blue-collar,divorced,high.school,no,no,yes,telephone,jun,mon,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
18080,34.0,technician,married,professional.course,no,yes,no,cellular,jul,wed,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
27675,41.0,blue-collar,single,basic.9y,unknown,no,no,cellular,nov,fri,3.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
19686,56.0,technician,married,professional.course,no,yes,no,cellular,aug,thu,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2566,44.0,blue-collar,married,unknown,no,no,yes,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
38958,60.0,admin.,married,unknown,unknown,yes,no,cellular,dec,wed,1.0,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.721,5023.5,yes
14937,28.0,blue-collar,single,basic.9y,unknown,no,yes,cellular,jul,wed,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
30976,26.0,student,single,high.school,unknown,no,no,cellular,may,tue,2.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.344,5099.1,no
5432,32.0,admin.,married,university.degree,no,yes,no,telephone,may,fri,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36891,25.0,student,single,university.degree,no,no,yes,telephone,jun,thu,6.0,999.0,1.0,failure,-2.9,92.963,-40.8,1.235,5076.2,yes
12673,34.0,technician,single,professional.course,unknown,yes,no,cellular,jul,mon,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38802,26.0,admin.,married,high.school,no,yes,no,cellular,nov,fri,1.0,7.0,1.0,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
3693,37.0,admin.,single,high.school,no,yes,no,telephone,may,fri,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
30203,54.0,housemaid,married,high.school,no,no,no,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
1399,35.0,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
14529,43.0,services,single,high.school,no,no,no,cellular,jul,tue,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
31663,35.0,blue-collar,married,basic.9y,unknown,no,no,cellular,may,thu,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.327,5099.1,no
40480,52.0,management,married,university.degree,no,yes,no,cellular,aug,thu,3.0,1.0,3.0,success,-1.7,94.027,-38.3,0.899,4991.6,yes
11463,56.0,retired,divorced,basic.4y,unknown,no,no,telephone,jun,fri,4.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31053,52.0,management,divorced,university.degree,no,no,no,cellular,may,wed,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
26353,29.0,admin.,married,high.school,no,no,no,cellular,nov,thu,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
35221,44.0,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
23347,57.0,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,wed,4.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
6829,50.0,admin.,married,high.school,no,no,no,telephone,may,wed,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1233,32.0,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
12285,46.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,thu,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
41030,28.0,admin.,single,university.degree,no,no,no,cellular,oct,mon,1.0,3.0,3.0,success,-1.1,94.601,-49.5,1.032,4963.6,yes
35654,41.0,unemployed,married,professional.course,no,no,no,cellular,may,mon,4.0,10.0,1.0,success,-1.8,92.893,-46.2,1.244,5099.1,no
19952,38.0,admin.,married,,no,yes,no,cellular,aug,fri,7.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20803,39.0,admin.,divorced,university.degree,no,no,no,cellular,aug,wed,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
30464,39.0,admin.,married,high.school,no,yes,no,cellular,may,mon,3.0,3.0,1.0,success,-1.8,92.893,-46.2,1.354,5099.1,yes
27765,34.0,technician,single,professional.course,no,yes,no,cellular,mar,fri,1.0,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.726,5099.1,yes
2141,51.0,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4904,30.0,admin.,single,high.school,no,no,no,telephone,may,wed,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
36451,46.0,unemployed,married,basic.9y,no,yes,no,cellular,jun,tue,2.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
605,32.0,admin.,single,university.degree,no,no,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33035,27.0,blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,7.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,yes
5166,36.0,technician,single,university.degree,unknown,no,no,telephone,may,fri,4.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40587,32.0,services,single,university.degree,no,no,no,cellular,sep,thu,3.0,999.0,2.0,failure,-1.1,94.199,-37.5,0.884,4963.6,no
4485,39.0,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
40670,29.0,admin.,single,high.school,no,yes,no,cellular,sep,thu,1.0,6.0,2.0,success,-1.1,94.199,-37.5,0.879,4963.6,yes
35493,31.0,admin.,married,university.degree,no,no,no,cellular,may,mon,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,no
5096,37.0,self-employed,married,,no,no,yes,telephone,may,fri,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33318,37.0,admin.,divorced,university.degree,no,yes,no,cellular,may,tue,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
39130,39.0,admin.,single,university.degree,no,yes,no,telephone,mar,mon,1.0,999.0,1.0,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
40585,39.0,management,married,university.degree,no,yes,no,cellular,sep,thu,3.0,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.884,4963.6,yes
1196,50.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
40202,29.0,admin.,married,university.degree,no,yes,no,cellular,jul,mon,3.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
2447,33.0,self-employed,divorced,basic.9y,no,yes,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
286,39.0,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
30200,41.0,admin.,single,university.degree,no,unknown,unknown,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2178,57.0,retired,single,high.school,no,no,no,telephone,may,mon,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
24139,44.0,management,married,university.degree,no,yes,no,cellular,nov,mon,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.191,5195.8,no
7934,55.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
36613,31.0,admin.,married,university.degree,no,no,no,cellular,jun,thu,2.0,999.0,1.0,failure,-2.9,,-40.8,1.26,5076.2,yes
35826,32.0,services,married,high.school,unknown,no,no,cellular,may,mon,3.0,10.0,1.0,success,-1.8,92.893,-46.2,1.244,5099.1,yes
37274,38.0,technician,married,professional.course,no,no,no,cellular,aug,mon,1.0,999.0,1.0,failure,-2.9,92.201,-31.4,0.884,5076.2,yes
6214,45.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37407,60.0,retired,married,university.degree,no,no,no,cellular,aug,wed,1.0,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
8821,46.0,blue-collar,married,professional.course,no,no,no,telephone,jun,thu,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
25776,35.0,self-employed,married,university.degree,no,yes,no,cellular,nov,wed,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
35275,54.0,retired,divorced,university.degree,no,yes,no,cellular,may,fri,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
35874,57.0,admin.,married,university.degree,no,yes,no,cellular,may,fri,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
14177,30.0,blue-collar,married,high.school,unknown,yes,no,cellular,jul,mon,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
38946,73.0,retired,married,university.degree,no,no,no,cellular,nov,fri,1.0,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.718,5017.5,yes
33418,33.0,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,4.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
38503,63.0,technician,married,professional.course,no,yes,no,cellular,oct,tue,1.0,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes
39475,85.0,housemaid,married,basic.4y,unknown,no,no,cellular,apr,tue,6.0,6.0,1.0,success,-1.8,93.749,-34.6,0.642,5008.7,yes
37863,30.0,student,married,university.degree,no,no,no,cellular,aug,mon,2.0,3.0,2.0,success,-2.9,92.201,-31.4,0.821,5076.2,yes
21195,50.0,services,married,basic.9y,unknown,yes,no,cellular,aug,mon,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38869,30.0,blue-collar,single,high.school,no,no,no,cellular,nov,mon,1.0,999.0,2.0,failure,-3.4,92.649,-30.1,0.7140000000000001,5017.5,no
40126,35.0,technician,single,professional.course,no,yes,no,cellular,jul,tue,1.0,6.0,1.0,success,-1.7,94.215,-40.3,0.835,4991.6,yes
34744,37.0,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,4.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
37805,58.0,retired,married,high.school,no,yes,no,cellular,aug,tue,6.0,3.0,1.0,success,-2.9,92.201,-31.4,0.838,5076.2,yes
8891,37.0,blue-collar,married,high.school,no,no,no,telephone,jun,thu,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
19013,52.0,technician,divorced,university.degree,no,no,no,cellular,aug,tue,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
27469,39.0,admin.,single,unknown,no,no,no,cellular,nov,fri,2.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.021,5195.8,yes
9572,26.0,student,single,high.school,no,no,no,telephone,jun,mon,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
39607,52.0,admin.,married,university.degree,no,no,no,cellular,may,thu,1.0,3.0,2.0,success,-1.8,93.876,-40.0,0.677,5008.7,yes
36852,53.0,housemaid,married,basic.4y,no,yes,no,cellular,jun,tue,2.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
3853,41.0,self-employed,married,high.school,unknown,no,no,telephone,may,fri,4.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
9072,53.0,technician,married,professional.course,unknown,yes,no,telephone,jun,thu,6.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
30319,33.0,blue-collar,single,basic.4y,no,no,no,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
5761,35.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
19857,30.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32647,41.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon,8.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
14656,27.0,services,single,high.school,no,no,no,cellular,jul,tue,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31982,24.0,services,single,high.school,unknown,yes,no,cellular,may,thu,2.0,10.0,1.0,success,-1.8,92.893,-46.2,1.327,5099.1,no
38751,72.0,retired,divorced,basic.6y,no,yes,no,cellular,nov,wed,2.0,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
11552,36.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
19439,43.0,admin.,single,university.degree,no,no,yes,cellular,aug,wed,7.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
16635,21.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,6.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
32265,38.0,management,married,university.degree,no,yes,no,cellular,may,fri,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1,yes
39748,43.0,blue-collar,single,high.school,no,no,yes,telephone,may,thu,1.0,999.0,0.0,nonexistent,-1.8,93.876,-40.0,0.6990000000000001,5008.7,no
20957,30.0,admin.,married,university.degree,no,no,no,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
17108,25.0,technician,single,high.school,no,no,yes,cellular,jul,fri,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38082,24.0,admin.,single,university.degree,no,no,no,cellular,sep,tue,1.0,3.0,1.0,success,-3.4,92.379,-29.8,0.77,5017.5,yes
3448,49.0,admin.,divorced,high.school,no,no,no,telephone,may,thu,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
